City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Mataura,NZ,44.49,overcast clouds,-46.1927,168.8643,
1,Namibe,AO,70.86,overcast clouds,-15.1961,12.1522,
2,Sayyan,YE,59.77,overcast clouds,15.1718,44.3244,
3,Tiksi,RU,5.36,overcast clouds,71.6872,128.8694,
4,Sussex,US,44.69,overcast clouds,41.1834,-74.6663,
5,Thai Binh,VN,63.52,broken clouds,20.45,106.3333,
7,Bredasdorp,ZA,62.76,broken clouds,-34.5322,20.0403,
8,East London,ZA,73.02,overcast clouds,-33.0153,27.9116,
9,Maningrida,AU,77.13,broken clouds,-12.0667,134.2667,
10,Mareeba,AU,71.44,few clouds,-17.0,145.4333,
11,Kununurra,AU,66.18,scattered clouds,-15.7667,128.7333,
12,Cape Town,ZA,66.11,clear sky,-33.9258,18.4232,
13,Antofagasta,CL,72.21,clear sky,-23.65,-70.4,
14,Watsa,CD,66.09,moderate rain,3.0372,29.5355,
15,Tongliao,CN,50.47,clear sky,43.6125,122.2653,
16,Pastavy,BY,29.23,broken clouds,55.1168,26.8326,
17,Saldanha,ZA,59.05,clear sky,-33.0117,17.9442,
18,Jamestown,US,33.53,overcast clouds,42.097,-79.2353,
19,Brae,GB,46.8,overcast clouds,60.3964,-1.353,
20,Svetlogorsk,BY,29.46,overcast clouds,52.6333,29.7333,
21,San Cristobal,VE,82.58,scattered clouds,7.7669,-72.225,
22,Acarau,BR,81.82,moderate rain,-2.8856,-40.12,
23,Saint-Philippe,RE,74.79,moderate rain,-21.3585,55.7679,
24,Ushuaia,AR,38.86,light rain,-54.8,-68.3,
25,Severo-Kurilsk,RU,29.57,few clouds,50.6789,156.125,
26,Albany,US,41.88,moderate rain,42.6001,-73.9662,
28,Melito Di Porto Salvo,IT,56.23,overcast clouds,37.9222,15.7714,
29,Hilo,US,78.53,overcast clouds,19.7297,-155.09,
30,Leh,IN,24.93,scattered clouds,34.1667,77.5833,
31,Broome,US,41.14,overcast clouds,42.2506,-75.833,
32,Hermanus,ZA,62.8,light rain,-34.4187,19.2345,
33,Busselton,AU,63.01,scattered clouds,-33.65,115.3333,
34,Rikitea,PF,76.64,broken clouds,-23.1203,-134.9692,
36,Rajshahi,BD,80.71,clear sky,24.3667,88.6,
37,Shawinigan,CA,43.32,overcast clouds,46.5668,-72.7491,
38,Dublin,US,79.43,clear sky,37.7021,-121.9358,
39,Bluff,NZ,56.73,overcast clouds,-46.6,168.3333,
40,Vaini,TO,73.56,light intensity shower rain,-21.2,-175.2,
41,Puerto Ayora,EC,85.96,light rain,-0.7393,-90.3518,
42,Mar Del Plata,AR,75.22,scattered clouds,-38.0023,-57.5575,
43,Torbay,CA,41.88,few clouds,47.6666,-52.7314,
45,Inta,RU,22.35,overcast clouds,66.0317,60.1659,
46,Upernavik,GL,20.19,scattered clouds,72.7868,-56.1549,
47,Fort Nelson,CA,26.19,broken clouds,58.8053,-122.7002,
48,Narsaq,GL,46.62,overcast clouds,60.9167,-46.05,
49,Kavieng,PG,80.73,light rain,-2.5744,150.7967,
50,Pundaguitan,PH,80.76,overcast clouds,6.3711,126.1689,
51,Vila,PT,41.88,few clouds,42.0304,-8.1588,
52,Urucui,BR,83.8,overcast clouds,-7.2294,-44.5561,
53,Fortuna,US,55.92,few clouds,40.5982,-124.1573,
54,Punta Arenas,CL,41.11,light intensity shower rain,-53.15,-70.9167,
55,Ouegoa,NC,80.01,overcast clouds,-20.35,164.4333,
56,Chuy,UY,72.66,moderate rain,-33.6971,-53.4616,
57,Zharkovskiy,RU,25.0,overcast clouds,55.849,32.2697,
58,Cidreira,BR,69.55,heavy intensity rain,-30.1811,-50.2056,
60,Hithadhoo,MV,83.37,broken clouds,-0.6,73.0833,
61,Yulara,AU,60.22,clear sky,-25.2406,130.9889,
62,Atuona,PF,79.77,overcast clouds,-9.8,-139.0333,
63,Provideniya,RU,1.09,clear sky,64.3833,-173.3,
64,Ilulissat,GL,30.22,broken clouds,69.2167,-51.1,
65,Eirunepe,BR,85.24,overcast clouds,-6.6603,-69.8736,
66,Palmer,US,52.41,overcast clouds,42.1584,-72.3287,
67,Iberia,US,82.06,clear sky,29.9502,-91.7507,
68,Nikolskoye,RU,30.7,scattered clouds,59.7035,30.7861,
69,Nanortalik,GL,38.7,overcast clouds,60.1432,-45.2371,
70,Balclutha,NZ,43.38,overcast clouds,-46.2339,169.75,
71,Kisangani,CD,72.34,light rain,0.5167,25.2,
72,Clyde River,CA,12.43,broken clouds,70.4692,-68.5914,
73,Caravelas,BR,82.31,clear sky,-17.7125,-39.2481,
74,Magdagachi,RU,24.51,few clouds,53.45,125.8,
