City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,44.49,97,99,2.19,overcast clouds
1,Namibe,AO,-15.1961,12.1522,70.86,81,100,9.75,overcast clouds
2,Sayyan,YE,15.1718,44.3244,59.77,20,91,5.3,overcast clouds
3,Tiksi,RU,71.6872,128.8694,5.36,98,100,8.05,overcast clouds
4,Sussex,US,41.1834,-74.6663,44.69,79,100,4.61,overcast clouds
5,Thai Binh,VN,20.45,106.3333,63.52,64,84,3.71,broken clouds
6,Chokurdakh,RU,70.6333,147.9167,-21.6,100,84,3.04,broken clouds
7,Bredasdorp,ZA,-34.5322,20.0403,62.76,84,79,3.8,broken clouds
8,East London,ZA,-33.0153,27.9116,73.02,89,100,18.14,overcast clouds
9,Maningrida,AU,-12.0667,134.2667,77.13,84,84,3.04,broken clouds
10,Mareeba,AU,-17.0,145.4333,71.44,93,15,2.19,few clouds
11,Kununurra,AU,-15.7667,128.7333,66.18,88,29,0.0,scattered clouds
12,Cape Town,ZA,-33.9258,18.4232,66.11,80,0,13.8,clear sky
13,Antofagasta,CL,-23.65,-70.4,72.21,49,8,9.08,clear sky
14,Watsa,CD,3.0372,29.5355,66.09,98,85,1.5,moderate rain
15,Tongliao,CN,43.6125,122.2653,50.47,31,2,21.77,clear sky
16,Pastavy,BY,55.1168,26.8326,29.23,61,59,6.35,broken clouds
17,Saldanha,ZA,-33.0117,17.9442,59.05,80,0,1.79,clear sky
18,Jamestown,US,42.097,-79.2353,33.53,74,100,9.22,overcast clouds
19,Brae,GB,60.3964,-1.353,46.8,97,100,20.74,overcast clouds
20,Svetlogorsk,BY,52.6333,29.7333,29.46,86,100,6.31,overcast clouds
21,San Cristobal,VE,7.7669,-72.225,82.58,47,32,5.77,scattered clouds
22,Acarau,BR,-2.8856,-40.12,81.82,81,23,13.02,moderate rain
23,Saint-Philippe,RE,-21.3585,55.7679,74.79,89,100,15.61,moderate rain
24,Ushuaia,AR,-54.8,-68.3,38.86,81,40,31.07,light rain
25,Severo-Kurilsk,RU,50.6789,156.125,29.57,87,22,11.77,few clouds
26,Albany,US,42.6001,-73.9662,41.88,85,100,2.06,moderate rain
27,Tuktoyaktuk,CA,69.4541,-133.0374,-20.2,69,20,2.3,few clouds
28,Melito Di Porto Salvo,IT,37.9222,15.7714,56.23,50,100,5.75,overcast clouds
29,Hilo,US,19.7297,-155.09,78.53,74,100,6.91,overcast clouds
30,Leh,IN,34.1667,77.5833,24.93,63,41,5.77,scattered clouds
31,Broome,US,42.2506,-75.833,41.14,82,100,16.11,overcast clouds
32,Hermanus,ZA,-34.4187,19.2345,62.8,83,1,7.96,light rain
33,Busselton,AU,-33.65,115.3333,63.01,83,47,16.91,scattered clouds
34,Rikitea,PF,-23.1203,-134.9692,76.64,66,57,9.53,broken clouds
35,Pevek,RU,69.7008,170.3133,-21.75,96,24,2.51,few clouds
36,Rajshahi,BD,24.3667,88.6,80.71,79,0,11.72,clear sky
37,Shawinigan,CA,46.5668,-72.7491,43.32,42,100,8.05,overcast clouds
38,Dublin,US,37.7021,-121.9358,79.43,44,0,9.22,clear sky
39,Bluff,NZ,-46.6,168.3333,56.73,73,96,13.33,overcast clouds
40,Vaini,TO,-21.2,-175.2,73.56,100,100,5.75,light intensity shower rain
41,Puerto Ayora,EC,-0.7393,-90.3518,85.96,76,37,11.52,light rain
42,Mar Del Plata,AR,-38.0023,-57.5575,75.22,62,40,21.85,scattered clouds
43,Torbay,CA,47.6666,-52.7314,41.88,71,20,35.68,few clouds
44,Dikson,RU,73.5069,80.5464,-2.52,99,63,9.4,broken clouds
45,Inta,RU,66.0317,60.1659,22.35,72,100,18.68,overcast clouds
46,Upernavik,GL,72.7868,-56.1549,20.19,84,42,3.76,scattered clouds
47,Fort Nelson,CA,58.8053,-122.7002,26.19,63,75,3.44,broken clouds
48,Narsaq,GL,60.9167,-46.05,46.62,74,100,5.39,overcast clouds
49,Kavieng,PG,-2.5744,150.7967,80.73,78,100,4.41,light rain
